,word,semcor cluster,dominant label,percentage dominance,no_semcor_clusters,pos labels
80, man ,1,NOUN,1.0,6,"['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']"
81, man ,2,NOUN,1.0,6,['NOUN' 'NOUN' 'NOUN']
82, man ,3,NOUN,1.0,6,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
83, man ,4,NOUN,0.8,6,['PROPN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
84, march ,1,VERB,0.5,3,['VERB' 'PROPN']
85, milk ,1,NOUN,1.0,2,['NOUN' 'NOUN' 'NOUN']
86, order ,1,NOUN,1.0,7,['NOUN' 'NOUN']
87, order ,2,NOUN,1.0,7,['NOUN' 'NOUN' 'NOUN']
88, permit ,1,VERB,0.8,2,['VERB' 'NOUN' 'VERB' 'VERB' 'VERB']
89, permit ,2,VERB,1.0,2,['VERB' 'VERB' 'VERB']
90, practice ,2,NOUN,1.0,3,['NOUN' 'NOUN']
91, practice ,3,NOUN,1.0,3,['NOUN' 'NOUN']
92, produce ,1,VERB,1.0,3,['VERB' 'VERB' 'VERB' 'VERB']
93, question ,1,NOUN,1.0,4,"['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']"
94, question ,2,NOUN,1.0,4,"['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN']"
95, question ,4,NOUN,1.0,4,['NOUN' 'NOUN']
96, round ,1,ADJ,0.5,3,['ADJ' 'ADV']
97, run ,1,NOUN,0.5833333333333334,9,"['NOUN' 'VERB' 'VERB' 'VERB' 'NOUN' 'NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'VERB']"
98, run ,2,VERB,1.0,9,['VERB' 'VERB']
99, run ,3,NOUN,1.0,9,['NOUN' 'NOUN']
100, run ,4,NOUN,0.5,9,['NOUN' 'VERB']
101, run ,8,VERB,1.0,9,['VERB' 'VERB']
102, run ,15,VERB,1.0,9,['VERB' 'VERB']
103, saw ,1,VERB,0.9583333333333334,5,"['VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB'
 'VERB' 'VERB' 'NOUN' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB'
 'VERB' 'VERB' 'VERB' 'VERB']"
104, saw ,3,VERB,1.0,5,['VERB' 'VERB' 'VERB']
105, saw ,4,VERB,1.0,5,['VERB' 'VERB' 'VERB']
106, saw ,7,VERB,1.0,5,['VERB' 'VERB' 'VERB']
107, surprise ,1,NOUN,1.0,2,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
108, surprise ,2,NOUN,1.0,2,['NOUN' 'NOUN']
109, table ,1,NOUN,1.0,3,['NOUN' 'NOUN']
110, table ,2,NOUN,1.0,3,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
111, thought ,1,VERB,0.6153846153846154,4,"['NOUN' 'VERB' 'NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'VERB' 'VERB' 'VERB'
 'VERB' 'VERB' 'VERB']"
112, thought ,2,VERB,0.8666666666666667,4,"['VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'NOUN' 'VERB' 'VERB' 'VERB' 'VERB'
 'VERB' 'NOUN' 'VERB' 'VERB' 'VERB']"
113, thought ,3,VERB,0.85,4,"['VERB' 'VERB' 'NOUN' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'VERB'
 'VERB' 'VERB' 'VERB' 'VERB' 'VERB' 'NOUN' 'VERB' 'VERB' 'VERB' 'NOUN']"
114, thought ,4,VERB,1.0,4,['VERB' 'VERB']
115, time ,1,NOUN,1.0,6,"['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']"
116, time ,2,NOUN,1.0,6,"['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN']"
117, time ,3,NOUN,1.0,6,"['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']"
118, time ,4,NOUN,1.0,6,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
119, time ,5,NOUN,1.0,6,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
120, time ,6,NOUN,1.0,6,['NOUN' 'NOUN']
121, train ,1,NOUN,1.0,2,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
122, use ,1,NOUN,0.6511627906976745,3,"['NOUN' 'VERB' 'NOUN' 'VERB' 'NOUN' 'VERB' 'VERB' 'NOUN' 'VERB' 'NOUN'
 'VERB' 'NOUN' 'VERB' 'NOUN' 'NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN'
 'NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'VERB'
 'VERB' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'VERB' 'VERB' 'NOUN'
 'NOUN' 'VERB' 'VERB']"
123, use ,2,NOUN,1.0,3,['NOUN' 'NOUN' 'NOUN' 'NOUN']
124, use ,3,NOUN,0.75,3,['VERB' 'NOUN' 'NOUN' 'NOUN']
125, value ,1,NOUN,1.0,3,['NOUN' 'NOUN' 'NOUN' 'NOUN']
126, value ,2,NOUN,1.0,3,['NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN' 'NOUN']
